Frequency,M,Station,On,Off,Language,Site,TX Country,Days,Target,Power,Azimuth,Origin,Source
162000,AM,ALS162 Time Signal,0000,2400,French,Allouis,France,1234567,,800,,TDF,Aoki
164000,AM,Mongolian Radio 1,2300,1600,Mongolian,Ulaanbaatar,Mongolia,1234567,,500,ND,MNR,Aoki
171000,AM,"Radio Mediterranee Int'l,",0500,2400,French/Arabic/      1,Nador,Morocco,1234567,,600,ND,MEDI1,Aoki
198000,AM,BBC R4,0500,0100,English,Droitwich,United Kingdom,23456,,250,,BBC R4,Aoki
198000,AM,BBC R4,0520,0100,English,Burghead,United Kingdom,1234567,,25,,BBC R4,Aoki
198000,AM,BBC R4,0520,0100,English,Westerglen,United Kingdom,1234567,,25,,BBC R4,Aoki
207000,AM,Rikisutvarpid Ras 1+2,0000,2400,Icelandic,Gufuskalar,Iceland,1234567,,100,,RUV,Aoki
209000,AM,Mongolian Radio 1,2300,1600,Mongolian,Choibalsan,Mongolia,1234567,,75,ND,MNR,Aoki
209000,AM,Mongolian Radio 1,2300,1600,Mongolian,Dalanzadgad,Mongolia,1234567,,75,ND,MNR,Aoki
209000,AM,Mongolian Radio 1,2300,1600,Mongolian,Ulgii,Mongolia,1234567,,75,ND,MNR,Aoki
225000,AM,Polskie Radio 1,0440,0450,Belarussian         1,Solec Kujawski,Poland,.234567,,000,ND,POR,Aoki
225000,AM,Polskie Radio 1,0906,0916,Ukrainian           1,Solec Kujawski,Poland,1234567,,000,ND,POR,Aoki
225000,AM,Polskie Radio 1,1000,0959,Polish              1,Solec Kujawski,Poland,1234567,,000,ND,POR,Aoki
225000,AM,Polskie Radio 1,1010,1020,Belarussian         1,Solec Kujawski,Poland,1,,000,ND,POR,Aoki
225000,AM,Polskie Radio 1,1020,1030,Belarussian         1,Solec Kujawski,Poland,.234567,,000,ND,POR,Aoki
225000,AM,Polskie Radio 1,1306,1316,Ukrainian           1,Solec Kujawski,Poland,1234567,,000,ND,POR,Aoki
225000,AM,Polskie Radio 1,1606,1616,Ukrainian           1,Solec Kujawski,Poland,1234567,,000,ND,POR,Aoki
225000,AM,Polskie Radio 1,1905,1915,Belarussian         1,Solec Kujawski,Poland,1,,000,ND,POR,Aoki
225000,AM,Polskie Radio 1,2020,2030,Belarussian         1,Solec Kujawski,Poland,1234567,,000,ND,POR,Aoki
227000,AM,Mongolian Radio 1,2300,1600,Mongolian,Altay,Mongolia,1234567,,75,ND,MNR,Aoki
252000,AM,R.Algerienne Chaine 3,0000,2400,French,Tipaza,Algeria,1234567,,750,ND,ALG3,Aoki
